,TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
11,Break and Enter Commercial,2018,3,2,6,17,10XX ALBERNI ST,West End,491058.81689300004,5459123.08572
38,Break and Enter Commercial,2018,6,16,18,0,10XX ALBERNI ST,West End,491102.24391099997,5459092.4351
97,Break and Enter Commercial,2018,12,12,0,0,10XX BEACH AVE,West End,490227.22245500004,5458210.37851
110,Break and Enter Commercial,2018,4,9,6,0,10XX BEACH AVE,Central Business District,490249.23071000003,5458166.832780001
152,Break and Enter Commercial,2018,10,2,18,31,10XX BEACH AVE,Central Business District,490258.682976,5458154.50332
154,Break and Enter Commercial,2018,2,17,15,0,10XX BEACH AVE,Central Business District,490268.431997,5458142.57699
176,Break and Enter Commercial,2018,5,16,17,0,10XX BOUNDARY RD,Hastings-Sunrise,498275.619992,5458124.94114
191,Break and Enter Commercial,2018,3,2,3,23,10XX BROUGHTON ST,West End,490263.0875,5459187.20237
192,Break and Enter Commercial,2018,3,17,11,57,10XX BROUGHTON ST,West End,490263.0875,5459187.20237
198,Break and Enter Commercial,2018,6,3,2,0,10XX BROUGHTON ST,West End,490272.58643900004,5459183.81214
202,Break and Enter Commercial,2018,1,20,23,0,10XX BURNABY ST,West End,490423.58598100004,5458504.0063
203,Break and Enter Commercial,2018,2,28,18,0,10XX BURNABY ST,West End,490423.58598100004,5458504.0063
205,Break and Enter Commercial,2018,12,15,14,53,10XX BURNABY ST,West End,490439.91224499996,5458487.37386
233,Break and Enter Commercial,2018,2,8,8,38,10XX BURRARD ST,West End,490729.630242,5458622.13949
234,Break and Enter Commercial,2018,2,23,19,0,10XX BURRARD ST,West End,490729.630242,5458622.13949
235,Break and Enter Commercial,2018,3,1,7,8,10XX BURRARD ST,West End,490729.630242,5458622.13949
286,Break and Enter Commercial,2018,12,2,17,30,10XX BURRARD ST,Central Business District,490759.518333,5458639.443109999
287,Break and Enter Commercial,2018,12,4,17,0,10XX BURRARD ST,Central Business District,490759.518333,5458639.443109999
368,Break and Enter Commercial,2018,8,30,12,40,10XX CANADA PL,Central Business District,491519.31993199995,5459518.82715
413,Break and Enter Commercial,2018,11,13,4,45,10XX COMMERCIAL DR,Grandview-Woodland,494937.508453,5458088.05306
414,Break and Enter Commercial,2018,12,21,5,3,10XX COMMERCIAL DR,Grandview-Woodland,494937.508453,5458088.05306
430,Break and Enter Commercial,2018,1,5,7,36,10XX COMMERCIAL DR,Grandview-Woodland,494946.691213,5458091.78833
435,Break and Enter Commercial,2018,4,16,15,19,10XX COMMERCIAL DR,Grandview-Woodland,494946.769656,5458099.44621
446,Break and Enter Commercial,2018,12,4,2,2,10XX DAVIE ST,West End,490467.11549399997,5458629.873790001
449,Break and Enter Commercial,2018,9,28,5,4,10XX DAVIE ST,West End,490488.990657,5458595.46144
475,Break and Enter Commercial,2018,9,20,4,0,10XX DAVIE ST,West End,490528.60429399996,5458556.39953
488,Break and Enter Commercial,2018,12,30,13,37,10XX DAVIE ST,West End,490546.34277399996,5458551.749969999
494,Break and Enter Commercial,2018,12,4,2,6,10XX DAVIE ST,West End,490552.001862,5458546.1697
542,Break and Enter Commercial,2018,2,27,21,30,10XX DENMAN ST,West End,489825.314689,5459533.612290001
543,Break and Enter Commercial,2018,2,28,13,7,10XX DENMAN ST,West End,489825.314689,5459533.612290001
571,Break and Enter Commercial,2018,9,9,8,26,10XX DENMAN ST,West End,489880.774865,5459589.19561
590,Break and Enter Commercial,2018,1,10,7,38,10XX DUNSMUIR ST,Central Business District,491237.790307,5459258.9505199995
591,Break and Enter Commercial,2018,6,25,6,34,10XX DUNSMUIR ST,Central Business District,491237.790307,5459258.9505199995
592,Break and Enter Commercial,2018,11,6,4,30,10XX DUNSMUIR ST,Central Business District,491237.790307,5459258.9505199995
619,Break and Enter Commercial,2018,1,25,12,41,10XX E BROADWAY AVE,Mount Pleasant,493990.52448500006,5456637.96837
629,Break and Enter Commercial,2018,3,14,9,25,10XX E BROADWAY AVE,Mount Pleasant,494074.110411,5456636.80664
632,Break and Enter Commercial,2018,5,1,18,1,10XX E CORDOVA ST,Strathcona,494024.670983,5458795.8331699995
683,Break and Enter Commercial,2018,12,13,4,2,10XX GILFORD ST,West End,489791.367186,5459726.48889
727,Break and Enter Commercial,2018,6,6,6,30,10XX GRANVILLE ST,Central Business District,490989.54804799997,5458450.71127
762,Break and Enter Commercial,2018,4,19,0,5,10XX GRANVILLE ST,Central Business District,491020.157844,5458468.92913
763,Break and Enter Commercial,2018,7,25,5,31,10XX GRANVILLE ST,Central Business District,491020.157844,5458468.92913
773,Break and Enter Commercial,2018,3,30,6,6,10XX GRANVILLE ST,Central Business District,491026.751519,5458488.74753
795,Break and Enter Commercial,2018,3,9,17,30,10XX GREAT NORTHERN WAY,Strathcona,494050.648355,5456956.18956
832,Break and Enter Commercial,2018,12,22,0,1,10XX HAMILTON ST,Central Business District,491263.53217799996,5458201.38953
848,Break and Enter Commercial,2018,11,29,10,2,10XX HAMILTON ST,Central Business District,491294.00090299995,5458245.45121
874,Break and Enter Commercial,2018,6,23,6,0,10XX HARWOOD ST,West End,490411.299768,5458361.205490001
911,Break and Enter Commercial,2018,12,19,6,47,10XX HOMER ST,Central Business District,491198.57041499997,5458233.83435
952,Break and Enter Commercial,2018,1,15,4,0,10XX HOMER ST,Central Business District,491255.883297,5458279.18105
1012,Break and Enter Commercial,2018,4,3,17,0,10XX HOWE ST,Central Business District,490889.59578599996,5458482.857890001
1020,Break and Enter Commercial,2018,4,25,14,24,10XX HOWE ST,Central Business District,490911.741375,5458505.49158
1058,Break and Enter Commercial,2018,1,10,5,1,10XX JERVIS ST,West End,490321.47441400005,5459033.607340001
1123,Break and Enter Commercial,2018,2,2,17,0,10XX LAURIER AVE,Shaughnessy,490704.340475,5455350.025780001
1141,Break and Enter Commercial,2018,6,28,4,21,10XX MAIN ST,Strathcona,492743.19536,5458088.0099599995
1177,Break and Enter Commercial,2018,2,9,4,30,10XX MAINLAND ST,Central Business District,491274.72563400003,5458134.03655
1192,Break and Enter Commercial,2018,11,12,4,56,10XX MAINLAND ST,Central Business District,491298.46425600006,5458171.83081
1238,Break and Enter Commercial,2018,3,14,6,0,10XX MAINLAND ST,Central Business District,491324.539053,5458185.70014
1253,Break and Enter Commercial,2018,4,24,16,0,10XX MAINLAND ST,Central Business District,491335.368057,5458196.93136
1259,Break and Enter Commercial,2018,8,14,14,46,10XX MARINASIDE CRES,Central Business District,491399.98521099996,5457863.31409
1289,Break and Enter Commercial,2018,3,4,12,5,10XX NELSON ST,West End,490766.88900799997,5458782.46411
1290,Break and Enter Commercial,2018,4,16,19,0,10XX NELSON ST,West End,490766.88900799997,5458782.46411
1351,Break and Enter Commercial,2018,7,26,0,0,10XX QUEBEC ST,Central Business District,492593.607792,5458043.68567
1352,Break and Enter Commercial,2018,9,18,22,0,10XX RAYMUR AVE,Strathcona,494011.870265,5458691.23052
1371,Break and Enter Commercial,2018,7,23,2,53,10XX RICHARDS ST,Central Business District,491126.78829799994,5458305.4868
1372,Break and Enter Commercial,2018,11,8,23,56,10XX RICHARDS ST,Central Business District,491126.78829799994,5458305.4868
1409,Break and Enter Commercial,2018,11,15,2,46,10XX ROBSON ST,West End,490945.176289,5459083.572930001
1480,Break and Enter Commercial,2018,2,3,3,50,10XX ROBSON ST,West End,491032.72096999997,5458984.20577
1493,Break and Enter Commercial,2018,5,31,21,30,10XX ROBSON ST,West End,491049.806785,5458967.32157
1500,Break and Enter Commercial,2018,10,8,4,12,10XX ROBSON ST,West End,491058.228366,5458958.99905
1521,Break and Enter Commercial,2018,6,1,12,25,10XX SE MARINE DR,Sunset,493873.129094,5450918.86699
1525,Break and Enter Commercial,2018,7,22,18,42,10XX SE MARINE DR,Sunset,493875.666564,5450918.92953
1526,Break and Enter Commercial,2018,11,24,15,25,10XX SE MARINE DR,Sunset,493875.666564,5450918.92953
1527,Break and Enter Commercial,2018,12,24,16,38,10XX SE MARINE DR,Sunset,493875.666564,5450918.92953
1528,Break and Enter Commercial,2018,12,25,15,0,10XX SE MARINE DR,Sunset,493875.666564,5450918.92953
1543,Break and Enter Commercial,2018,3,22,2,57,10XX SEYMOUR ST,Central Business District,491047.218285,5458361.25497
1596,Break and Enter Commercial,2018,10,28,20,31,10XX VERNON DR,Strathcona,494274.83165,5458072.28749
1608,Break and Enter Commercial,2018,4,14,7,0,10XX W 11TH AVE,Fairview,490727.65516400005,5456533.80055
1614,Break and Enter Commercial,2018,3,8,1,30,10XX W 13TH AVE,Fairview,490700.06413599994,5456333.18988
1635,Break and Enter Commercial,2018,1,18,22,32,10XX W 49TH AVE,Oakridge,490640.085346,5452653.63137
1636,Break and Enter Commercial,2018,10,9,19,0,10XX W 54TH AVE,Oakridge,490510.70651899994,5452099.36951
1639,Break and Enter Commercial,2018,2,14,1,0,10XX W 59TH AVE,Marpole,490501.30207299994,5451609.45766
1654,Break and Enter Commercial,2018,3,7,17,0,10XX W 7TH AVE,Fairview,490670.799076,5456948.105
1710,Break and Enter Commercial,2018,8,17,4,17,10XX W BROADWAY AVE,Fairview,490645.94887799997,5456744.87059
1814,Break and Enter Commercial,2018,6,30,14,48,10XX W GEORGIA ST,Central Business District,491087.103468,5459191.55465
1835,Break and Enter Commercial,2018,4,19,0,0,10XX W GEORGIA ST,Central Business District,491115.45035,5459163.47705
1836,Break and Enter Commercial,2018,9,19,18,44,10XX W GEORGIA ST,Central Business District,491115.45035,5459163.47705
1837,Break and Enter Commercial,2018,11,14,18,0,10XX W GEORGIA ST,Central Business District,491115.45035,5459163.47705
2008,Break and Enter Commercial,2018,4,30,18,45,10XX W PENDER ST,Central Business District,491332.29684799997,5459374.75095
2037,Break and Enter Commercial,2018,7,3,1,30,10XX W WATERFRONT RD,Central Business District,491405.52548,5459578.47984
2103,Break and Enter Commercial,2018,9,18,23,0,11XX ALBERNI ST,West End,490986.54996800004,5459207.89385
2146,Break and Enter Commercial,2018,11,24,7,2,11XX BROUGHTON ST,West End,490122.585874,5459046.07125
2205,Break and Enter Commercial,2018,10,3,23,4,11XX BURRARD ST,Central Business District,490718.687822,5458598.00777
2233,Break and Enter Commercial,2018,7,14,8,15,11XX CLARK DR,Strathcona,494372.845151,5458011.84594
2264,Break and Enter Commercial,2018,3,15,19,30,11XX COMMERCIAL DR,Grandview-Woodland,494945.385388,5457966.3466300005
2278,Break and Enter Commercial,2018,1,21,5,33,11XX COMOX ST,West End,490528.143639,5458866.593280001
2285,Break and Enter Commercial,2018,6,9,5,53,11XX DAVIE ST,West End,490333.150258,5458766.30291
2296,Break and Enter Commercial,2018,12,4,1,43,11XX DAVIE ST,West End,490359.380775,5458726.4785400005
2329,Break and Enter Commercial,2018,8,1,0,10,11XX DAVIE ST,West End,490419.51951,5458678.18599
2376,Break and Enter Commercial,2018,10,5,4,44,11XX DENMAN ST,West End,489747.64140799997,5459455.18398
2384,Break and Enter Commercial,2018,8,15,12,4,11XX DENMAN ST,West End,489789.265105,5459497.06893
2387,Break and Enter Commercial,2018,2,5,5,14,11XX DENMAN ST,West End,489792.39784799994,5459500.244580001
2388,Break and Enter Commercial,2018,8,31,5,35,11XX DENMAN ST,West End,489792.39784799994,5459500.244580001
2413,Break and Enter Commercial,2018,6,13,5,57,11XX E BROADWAY AVE,Mount Pleasant,494125.447751,5456626.94804
2414,Break and Enter Commercial,2018,7,10,4,38,11XX E BROADWAY AVE,Mount Pleasant,494125.447751,5456626.94804
2415,Break and Enter Commercial,2018,9,24,0,24,11XX E BROADWAY AVE,Mount Pleasant,494125.447751,5456626.94804
2417,Break and Enter Commercial,2018,3,11,14,53,11XX E BROADWAY AVE,Mount Pleasant,494156.796638,5456635.65712
2486,Break and Enter Commercial,2018,1,30,23,20,11XX E PENDER ST,Strathcona,494164.333263,5458594.33824
2487,Break and Enter Commercial,2018,4,9,20,36,11XX E PENDER ST,Strathcona,494164.333263,5458594.33824
2497,Break and Enter Commercial,2018,1,12,22,0,11XX FRANKLIN ST,Strathcona,494096.69850500004,5458838.618840001
2506,Break and Enter Commercial,2018,4,13,16,40,11XX FRANKLIN ST,Strathcona,494139.140947,5458846.99967
2513,Break and Enter Commercial,2018,11,12,5,51,11XX FRANKLIN ST,Strathcona,494180.215016,5458846.25954
2516,Break and Enter Commercial,2018,2,14,21,20,11XX FRANKLIN ST,Strathcona,494181.418675,5458846.23734
2517,Break and Enter Commercial,2018,6,4,1,0,11XX FRANKLIN ST,Strathcona,494181.418675,5458846.23734
2518,Break and Enter Commercial,2018,11,5,6,8,11XX FRANKLIN ST,Strathcona,494181.418675,5458846.23734
2554,Break and Enter Commercial,2018,8,13,4,40,11XX GRANVILLE ST,Central Business District,490828.18958,5458287.54144
2574,Break and Enter Commercial,2018,9,5,0,0,11XX GRANVILLE ST,Central Business District,490870.30923199997,5458329.88456
2584,Break and Enter Commercial,2018,12,3,12,15,11XX GRANVILLE ST,Central Business District,490901.177169,5458347.95033
2592,Break and Enter Commercial,2018,11,13,22,47,11XX GRANVILLE ST,Central Business District,490921.29616800003,5458381.14201
2682,Break and Enter Commercial,2018,9,14,1,47,11XX HARO ST,West End,490826.74046999996,5459046.6523400005
2683,Break and Enter Commercial,2018,10,29,18,21,11XX HARWOOD ST,West End,490189.10618500004,5458584.03627
2711,Break and Enter Commercial,2018,12,10,12,13,11XX HARWOOD ST,West End,490269.23368,5458517.766530001
2747,Break and Enter Commercial,2018,2,8,23,30,11XX HOMER ST,Central Business District,491124.936096,5458146.42931
2775,Break and Enter Commercial,2018,11,30,21,30,11XX HORNBY ST,Central Business District,490732.2809,5458460.846390001
2799,Break and Enter Commercial,2018,10,21,9,0,11XX HORNBY ST,Central Business District,490762.516047,5458492.19049
2802,Break and Enter Commercial,2018,1,1,0,0,11XX HORNBY ST,Central Business District,490768.89279799996,5458511.972
2824,Break and Enter Commercial,2018,3,1,20,40,11XX HOWE ST,Central Business District,490766.24237,5458357.69142
2825,Break and Enter Commercial,2018,12,4,0,5,11XX HOWE ST,Central Business District,490766.24237,5458357.69142
2834,Break and Enter Commercial,2018,10,7,0,0,11XX HOWE ST,Central Business District,490775.016424,5458366.57935
2835,Break and Enter Commercial,2018,12,3,7,0,11XX HOWE ST,Central Business District,490775.016424,5458366.57935
2862,Break and Enter Commercial,2018,8,24,9,9,11XX HOWE ST,Central Business District,490823.346937,5458428.55293
2863,Break and Enter Commercial,2018,10,2,4,0,11XX HOWE ST,Central Business District,490823.346937,5458428.55293
2888,Break and Enter Commercial,2018,4,15,3,9,11XX HOWE ST,Central Business District,490851.789436,5458444.3488
2889,Break and Enter Commercial,2018,4,16,11,42,11XX HOWE ST,Central Business District,490851.789436,5458444.3488
2891,Break and Enter Commercial,2018,11,7,9,5,11XX JERVIS ST,West End,490211.75506800006,5458935.67813
2900,Break and Enter Commercial,2018,12,10,0,0,11XX JERVIS ST,West End,490304.99754300003,5459016.266369999
2905,Break and Enter Commercial,2018,2,4,4,0,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494083.44743199996,5455558.64005
2937,Break and Enter Commercial,2018,3,31,18,36,11XX KINGSWAY AVE,Kensington-Cedar Cottage,494171.048368,5455484.99034
2946,Break and Enter Commercial,2018,12,17,7,30,11XX MAIN ST,Central Business District,492719.403611,5457952.5840300005
2954,Break and Enter Commercial,2018,2,4,6,32,11XX MAIN ST,Central Business District,492719.704433,5457961.23905
2955,Break and Enter Commercial,2018,3,13,9,47,11XX MAIN ST,Central Business District,492719.704433,5457961.23905
2956,Break and Enter Commercial,2018,3,27,2,30,11XX MAIN ST,Central Business District,492719.704433,5457961.23905
2959,Break and Enter Commercial,2018,2,12,20,53,11XX MAIN ST,Central Business District,492720.256703,5457977.10678
2960,Break and Enter Commercial,2018,12,7,9,11,11XX MAIN ST,Central Business District,492720.256703,5457977.10678
2961,Break and Enter Commercial,2018,12,8,2,0,11XX MAIN ST,Central Business District,492720.256703,5457977.10678
2962,Break and Enter Commercial,2018,12,14,21,0,11XX MAIN ST,Central Business District,492720.256703,5457977.10678
2986,Break and Enter Commercial,2018,7,13,18,0,11XX MAINLAND ST,Central Business District,491174.442567,5458032.91501
2991,Break and Enter Commercial,2018,3,27,18,15,11XX MAINLAND ST,Central Business District,491177.02884600003,5458048.34925
3042,Break and Enter Commercial,2018,11,6,10,8,11XX MARINASIDE CRES,Central Business District,491297.04308000003,5457829.63822
3065,Break and Enter Commercial,2018,4,6,23,0,11XX MELVILLE ST,Central Business District,491019.48496800003,5459408.05791
3066,Break and Enter Commercial,2018,10,4,7,25,11XX MELVILLE ST,Central Business District,491019.48496800003,5459408.05791
3104,Break and Enter Commercial,2018,10,5,8,10,11XX MELVILLE ST,Central Business District,491078.08562299993,5459364.08447
3105,Break and Enter Commercial,2018,2,13,0,39,11XX MELVILLE ST,Central Business District,491105.743414,5459337.3253
3161,Break and Enter Commercial,2018,3,31,1,58,11XX NELSON ST,West End,490664.918872,5458896.35442
3162,Break and Enter Commercial,2018,7,12,0,0,11XX NELSON ST,West End,490664.918872,5458896.35442
3163,Break and Enter Commercial,2018,9,14,12,0,11XX NELSON ST,West End,490664.918872,5458896.35442
3164,Break and Enter Commercial,2018,11,3,9,43,11XX NICOLA ST,West End,490117.97073999996,5459196.4673
3201,Break and Enter Commercial,2018,3,29,17,30,11XX PARKER ST,Strathcona,494212.986996,5458133.16512
3228,Break and Enter Commercial,2018,10,7,23,10,11XX QUEBEC ST,Central Business District,492601.828021,5457998.09506
3236,Break and Enter Commercial,2018,8,20,18,0,11XX RICHARDS ST,Central Business District,490979.669547,5458144.868869999
3246,Break and Enter Commercial,2018,11,17,20,53,11XX RICHARDS ST,Central Business District,491058.18296199996,5458236.73555
3254,Break and Enter Commercial,2018,2,26,3,29,11XX RICHARDS ST,Central Business District,491060.03071400005,5458238.59242
3255,Break and Enter Commercial,2018,11,14,4,55,11XX RICHARDS ST,Central Business District,491060.03071400005,5458238.59242
3274,Break and Enter Commercial,2018,7,29,4,20,11XX ROBSON ST,West End,490795.640675,5459232.69875
3275,Break and Enter Commercial,2018,8,10,9,3,11XX ROBSON ST,West End,490795.640675,5459232.69875
3291,Break and Enter Commercial,2018,5,18,16,0,11XX ROBSON ST,West End,490812.68709799997,5459202.74933
3340,Break and Enter Commercial,2018,9,10,18,56,11XX ROBSON ST,West End,490859.703665,5459155.78996
3384,Break and Enter Commercial,2018,9,5,21,15,11XX ROBSON ST,West End,490910.243559,5459118.23529
3394,Break and Enter Commercial,2018,2,27,21,40,11XX ROSSLAND ST,Hastings-Sunrise,496691.97624499997,5458065.53192
3407,Break and Enter Commercial,2018,3,16,1,15,11XX SEYMOUR ST,Central Business District,490914.146425,5458227.8689
3412,Break and Enter Commercial,2018,1,4,0,0,11XX SEYMOUR ST,Central Business District,490942.77224099997,5458256.37543
3422,Break and Enter Commercial,2018,6,8,10,0,11XX SEYMOUR ST,Central Business District,490991.215928,5458304.61723
3423,Break and Enter Commercial,2018,7,31,7,41,11XX SEYMOUR ST,Central Business District,490991.215928,5458304.61723
3434,Break and Enter Commercial,2018,7,6,17,15,11XX SEYMOUR ST,Central Business District,491002.225857,5458315.5812800005
3442,Break and Enter Commercial,2018,10,1,22,12,11XX STATION ST,Strathcona,492835.014124,5457933.89594
3445,Break and Enter Commercial,2018,11,19,9,33,11XX THE CASTINGS ST,Fairview,490473.362867,5457124.92533
3452,Break and Enter Commercial,2018,6,5,17,0,11XX UNION ST,Strathcona,494100.61970100005,5458294.2315
3477,Break and Enter Commercial,2018,5,8,21,0,11XX W 10TH AVE,Fairview,490546.71843599994,5456649.9116400005
3517,Break and Enter Commercial,2018,3,8,14,38,11XX W 6TH AVE,Fairview,490508.795134,5457037.52951
3566,Break and Enter Commercial,2018,7,7,17,15,11XX W BROADWAY AVE,Fairview,490483.810385,5456758.4594
3570,Break and Enter Commercial,2018,2,3,6,20,11XX W BROADWAY AVE,Fairview,490486.85605,5456749.227080001
3579,Break and Enter Commercial,2018,7,28,21,30,11XX W BROADWAY AVE,Fairview,490546.51128000004,5456756.71441
3600,Break and Enter Commercial,2018,2,18,6,38,11XX W BROADWAY AVE,Fairview,490562.757127,5456747.11472
3628,Break and Enter Commercial,2018,3,7,0,5,11XX W CORDOVA ST,Central Business District,491128.987446,5459617.41946
3656,Break and Enter Commercial,2018,3,20,17,30,11XX W GEORGIA ST,Central Business District,490915.272758,5459361.07869
3698,Break and Enter Commercial,2018,9,22,4,10,11XX W GEORGIA ST,Central Business District,490997.934798,5459279.61984
3724,Break and Enter Commercial,2018,1,15,19,30,11XX W HASTINGS ST,Central Business District,491081.448264,5459569.16895
3725,Break and Enter Commercial,2018,2,16,18,0,11XX W HASTINGS ST,Central Business District,491081.448264,5459569.16895
3726,Break and Enter Commercial,2018,2,19,5,53,11XX W HASTINGS ST,Central Business District,491081.448264,5459569.16895
3734,Break and Enter Commercial,2018,1,14,16,30,11XX W HASTINGS ST,Central Business District,491115.818925,5459544.49393
3744,Break and Enter Commercial,2018,2,10,21,18,11XX W HASTINGS ST,Central Business District,491127.858467,5459549.283340001
3771,Break and Enter Commercial,2018,3,30,0,0,11XX W HASTINGS ST,Central Business District,491220.678855,5459509.51212
3826,Break and Enter Commercial,2018,11,26,10,3,11XX W PENDER ST,Central Business District,491052.646025,5459503.62736
3848,Break and Enter Commercial,2018,1,18,3,30,11XX W PENDER ST,Central Business District,491126.316136,5459480.18438
3882,Break and Enter Commercial,2018,6,8,23,49,11XX W PENDER ST,Central Business District,491151.30889799993,5459458.77934
3900,Break and Enter Commercial,2018,1,16,20,0,11XX W PENDER ST,Central Business District,491171.863662,5459449.436000001
3915,Break and Enter Commercial,2018,5,12,6,58,11XX W PENDER ST,Central Business District,491208.86224499997,5459432.61799
3916,Break and Enter Commercial,2018,5,19,17,0,11XX W PENDER ST,Central Business District,491208.86224499997,5459432.61799
3918,Break and Enter Commercial,2018,1,8,5,0,11XX W PENDER ST,Central Business District,491217.084151,5459428.88066
3923,Break and Enter Commercial,2018,5,31,9,25,11XX WILLIAM ST,Strathcona,494196.02321400004,5457932.31334
3938,Break and Enter Commercial,2018,1,2,1,0,12XX BARCLAY ST,West End,490542.80219200003,5459179.702959999
3955,Break and Enter Commercial,2018,3,19,16,53,12XX BARCLAY ST,West End,490568.53267299995,5459141.9334
3969,Break and Enter Commercial,2018,5,29,21,0,12XX BEACH AVE,West End,489999.869917,5458560.89303
3971,Break and Enter Commercial,2018,4,12,10,35,12XX BEACH AVE,West End,490015.320396,5458537.27744
4014,Break and Enter Commercial,2018,10,3,0,0,12XX BROUGHTON ST,West End,490080.77123199997,5459004.43594
4018,Break and Enter Commercial,2018,10,20,4,25,12XX BURNABY ST,West End,490151.56683500006,5458788.481980001
4025,Break and Enter Commercial,2018,11,30,9,50,12XX BURNABY ST,West End,490160.15341,5458766.53873
4036,Break and Enter Commercial,2018,5,6,3,30,12XX BURNABY ST,West End,490194.762563,5458730.95512
4037,Break and Enter Commercial,2018,9,15,6,58,12XX BURNABY ST,West End,490194.762563,5458730.95512
4038,Break and Enter Commercial,2018,9,28,5,2,12XX BURNABY ST,West End,490194.762563,5458730.95512
4073,Break and Enter Commercial,2018,9,23,19,0,12XX BURRARD ST,Central Business District,490563.44237,5458441.60605
4115,Break and Enter Commercial,2018,2,6,8,49,12XX BUTE ST,West End,490293.08135200007,5458777.10894
4118,Break and Enter Commercial,2018,3,1,18,6,12XX CARDERO ST,West End,489880.12546099996,5459144.4264
4126,Break and Enter Commercial,2018,9,21,0,0,12XX CARDERO ST,West End,489881.610227,5459133.04842
4178,Break and Enter Commercial,2018,11,17,22,3,12XX COMMERCIAL DR,Grandview-Woodland,494944.556009,5457898.205519999
4195,Break and Enter Commercial,2018,1,16,19,0,12XX COMOX ST,West End,490416.31046300003,5458977.81814
4196,Break and Enter Commercial,2018,9,15,8,33,12XX COMOX ST,West End,490416.31046300003,5458977.81814
4249,Break and Enter Commercial,2018,12,14,0,56,12XX E 12TH AVE,Mount Pleasant,494348.915854,5456325.78162
4252,Break and Enter Commercial,2018,3,14,22,0,12XX E 15TH AVE,Mount Pleasant,494272.89853999997,5456003.72035
4271,Break and Enter Commercial,2018,7,25,0,30,12XX E 7TH AVE,Mount Pleasant,494230.850264,5456839.50489
4280,Break and Enter Commercial,2018,4,17,10,28,12XX E 8TH AVE,Mount Pleasant,494249.04353900003,5456738.35241
4285,Break and Enter Commercial,2018,2,23,19,47,12XX E 8TH AVE,Mount Pleasant,494273.475783,5456738.11598
4286,Break and Enter Commercial,2018,3,2,21,29,12XX E 8TH AVE,Mount Pleasant,494273.475783,5456738.11598
4294,Break and Enter Commercial,2018,7,26,12,9,12XX E BROADWAY AVE,Mount Pleasant,494294.565705,5456624.59689
4295,Break and Enter Commercial,2018,9,7,3,13,12XX E BROADWAY AVE,Mount Pleasant,494294.565705,5456624.59689
4296,Break and Enter Commercial,2018,9,10,2,0,12XX E BROADWAY AVE,Mount Pleasant,494294.565705,5456624.59689
4297,Break and Enter Commercial,2018,9,21,7,40,12XX E BROADWAY AVE,Mount Pleasant,494294.565705,5456624.59689
4298,Break and Enter Commercial,2018,12,10,20,0,12XX E BROADWAY AVE,Mount Pleasant,494294.565705,5456624.59689
4299,Break and Enter Commercial,2018,12,23,12,0,12XX E BROADWAY AVE,Mount Pleasant,494294.565705,5456624.59689
4344,Break and Enter Commercial,2018,10,29,7,45,12XX E HASTINGS ST,Strathcona,494376.15226000006,5458740.04156
4369,Break and Enter Commercial,2018,4,2,0,0,12XX FRANCES ST,Strathcona,494324.76925600006,5458532.33581
4383,Break and Enter Commercial,2018,4,8,0,58,12XX FRANKLIN ST,Strathcona,494360.085919,5458832.94851
4423,Break and Enter Commercial,2018,7,11,20,47,12XX GRANVILLE ST,Central Business District,490794.85538,5458253.56158
4454,Break and Enter Commercial,2018,3,29,5,18,12XX HAMILTON ST,Central Business District,491043.46195699996,5457979.59078
4469,Break and Enter Commercial,2018,4,3,4,3,12XX HARO ST,West End,490594.944171,5459266.27104
4470,Break and Enter Commercial,2018,4,24,1,0,12XX HARO ST,West End,490594.944171,5459266.27104
4471,Break and Enter Commercial,2018,5,6,2,25,12XX HARO ST,West End,490594.944171,5459266.27104
4472,Break and Enter Commercial,2018,5,23,0,24,12XX HARO ST,West End,490594.944171,5459266.27104
4476,Break and Enter Commercial,2018,1,20,22,0,12XX HARO ST,West End,490631.79271899996,5459230.55748
4491,Break and Enter Commercial,2018,4,20,8,21,12XX HARO ST,West End,490649.133215,5459213.7511
4504,Break and Enter Commercial,2018,12,13,21,38,12XX HARWOOD ST,West End,490097.70618999994,5458687.350190001
4554,Break and Enter Commercial,2018,6,24,14,0,12XX HOMER ST,Central Business District,490991.072272,5458012.85546
4565,Break and Enter Commercial,2018,9,1,0,0,12XX HOMER ST,Central Business District,491003.11047200003,5458037.89786
4606,Break and Enter Commercial,2018,9,7,21,37,12XX HOWE ST,Central Business District,490650.590435,5458254.62287
4607,Break and Enter Commercial,2018,9,9,7,24,12XX HOWE ST,Central Business District,490650.590435,5458254.62287
4608,Break and Enter Commercial,2018,11,11,19,29,12XX HOWE ST,Central Business District,490650.590435,5458254.62287
4634,Break and Enter Commercial,2018,2,28,3,50,12XX HOWE ST,Central Business District,490681.55231000006,5458272.694759999
4644,Break and Enter Commercial,2018,2,24,5,30,12XX HOWE ST,Central Business District,490734.98626499996,5458326.21964
4716,Break and Enter Commercial,2018,3,2,2,0,12XX MARINASIDE CRES,Central Business District,491201.658904,5457735.323480001
4741,Break and Enter Commercial,2018,4,15,20,38,12XX MELVILLE ST,Central Business District,490919.48051,5459504.975769999
4759,Break and Enter Commercial,2018,5,8,19,0,12XX MELVILLE ST,Central Business District,490957.183601,5459481.11021
